id,suit_skill_id,argument_order,init_argument_value,argument_value
0,0,1,0.015,0.0
1,1,1,0.35000000000000003,0.0
2,2,1,0.015,0.0
3,3,1,0.05,0.025
4,4,1,0.075,0.0375
5,5,1,0.1,0.05
6,6,1,0.02,0.0
7,7,1,0.02,0.0
8,8,1,0.4,0.0
9,9,1,0.025,0.0
10,10,1,0.45,0.0
11,11,1,0.025,0.0
12,12,1,0.03,0.0
13,13,1,0.5,0.0
14,14,1,0.03,0.0
15,15,1,0.035,0.0
16,16,1,0.55,0.0
17,17,1,0.035,0.0
18,18,1,0.04,0.0
19,19,1,0.6000000000000001,0.0
20,20,1,0.04,0.0
21,21,1,0.65,0.0
22,22,1,0.045,0.0
23,23,1,0.045,0.0
24,24,1,0.7,0.0
25,25,1,0.05,0.0
26,26,1,0.05,0.0
27,27,1,0.055,0.0
28,28,1,0.055,0.0
29,29,1,0.75,0.0
30,30,1,0.055,0.0
31,31,2,0.2,0.05
32,32,2,0.15,0.0375
33,33,2,0.1,0.025
34,34,3,0.075,0.015
35,35,3,0.1,0.02
36,36,3,0.05,0.01
37,37,2,0.05,0.015
38,38,2,0.075,0.02
39,39,2,0.1,0.025
40,40,1,0.05,0.025
41,41,1,0.04,0.02
42,42,1,0.03,0.015
43,43,1,0.1,0.0
44,44,1,0.1,0.05
45,45,1,0.2,0.1
46,46,1,0.15,0.075
47,47,2,0.05,0.02
48,48,2,0.04,0.015
49,49,2,0.03,0.01
50,50,1,0.25,0.0
51,51,1,0.1,0.0
52,52,1,0.05,0.0
53,53,1,0.25,0.0
54,54,1,0.005,0.0
55,31,1,0.5,
56,32,1,0.4,
57,33,1,0.3,
58,34,1,3.0,
59,35,1,4.0,
60,36,1,2.0,
61,34,2,0.4,
62,35,2,0.5,
63,36,2,0.3,
64,37,1,0.2,
65,38,1,0.15,
66,39,1,0.1,
67,37,3,3.0,
68,38,3,4.0,
69,39,3,5.0,
70,44,2,1.0,0.5
71,45,2,1.0,0.5
72,46,2,1.0,0.5
73,47,1,5.0,
74,48,1,4.0,
75,49,1,3.0,
