id,fishing_pond_id,bait_drop_id,bait_id,drop_id
0,10206601,501020003,10413001,501020001.0
1,10206601,501020004,10413004,501020001.0
2,10206601,501020005,10413005,501020001.0
4,10306601,501030002,10406567,501030001.0
5,10306601,501030003,10406686,501030001.0
6,10306601,501030004,10413028,501030001.0
7,10406637,501040002,10413158,501040001.0
8,10406637,501040003,10406845,501040001.0
9,10406637,501040004,10206004,501040001.0
10,10406637,501040005,10406243,501040001.0
11,10406637,501040006,10406244,501040001.0
12,10406637,501040007,10406245,501040001.0
13,11506601,501150002,10406893,501150001.0
14,11506601,501150003,10406582,501150001.0
15,11506601,501150004,10413159,501150001.0
16,12706613,501270002,10413069,501270001.0
17,12706613,501270003,10413070,501270001.0
18,12706613,501270004,10413123,501270001.0
19,13206601,501320002,10406886,501320001.0
20,13206601,501320003,10406842,501320001.0
21,13206601,501320004,10406832,501320001.0
22,14206601,501420002,10413012,501420001.0
23,14206601,501420003,10413013,501420001.0
24,14206601,501420004,10413014,501420001.0
31,16106601,501610002,10413236,501610001.0
32,16106601,501610003,10413237,501610001.0
33,16106601,501610004,10413238,501610001.0
34,17106601,501710002,10206010,501710001.0
35,17106601,501710003,10206011,501710001.0
36,17106601,501710004,10206012,501710001.0
37,17106601,501710005,10403065,501710001.0
38,17106601,501710006,10403063,501710001.0
39,17106601,501710007,10403064,501710001.0
40,17106601,501710008,10406258,501710001.0
41,17106601,501710009,10406259,501710001.0
42,17106601,501710010,10406260,501710001.0
43,19206619,501910002,10413262,501910001.0
44,19206619,501910003,10413263,501910001.0
45,19206619,501910004,10413264,501910001.0
